AMFR,OFR,SFR,PFR,Placed
0.3924050633,0.4090909091,0.4166666667,0.3296213808,0
0.3924050633,0.4090909091,0.4166666667,0.3296213808,0
0.3,0.4090909091,0.4166666667,0.3296213808,1
0.3695652174,0.4090909091,0.4166666667,0.3296213808,0
0.3,0.4090909091,0.4166666667,0.3296213808,0
0.3695652174,0.4090909091,0.4166666667,0.3296213808,0
0.3695652174,0.4090909091,0.4166666667,0.3296213808,0
0.3,0.4090909091,0.4166666667,0.3296213808,0
0.3924050633,0.4090909091,0.4166666667,0.3296213808,1
0.3,0.4090909091,0.4166666667,0.4901960784,1
0.3695652174,0.4090909091,0.4166666667,0.3296213808,1
0.3924050633,0.4090909091,0.4166666667,0.3296213808,1
0.3454545455,0.4090909091,0.4166666667,0.3296213808,0
0.3454545455,0.4090909091,0.4166666667,0.3296213808,0
0.3,0.4090909091,0.4166666667,0.3296213808,0
0.3,0.4090909091,0.4166666667,0.3296213808,0
0.3695652174,0.4090909091,0.4166666667,0.3296213808,1
0.3695652174,0.4090909091,0.4166666667,0.3296213808,0
0.3,0.4090909091,0.4166666667,0.3296213808,1
0.3454545455,0.4090909091,0.4166666667,0.3296213808,1
0.3924050633,0.4090909091,0.4166666667,0.3296213808,1
0.3454545455,0.5,0.4166666667,0.3296213808,0
0.3454545455,0.5,0.4166666667,0.3296213808,1
0.3,0,0.4166666667,0.3296213808,0
0.3924050633,0,0.4166666667,0.4901960784,0
0.3924050633,0,0.4166666667,0.3296213808,0
0.4615384615,0,0.4166666667,0.4901960784,0
0.4615384615,0,0.4166666667,0.3296213808,0
0.3,0.5,0.4166666667,0.3296213808,0
0.3454545455,0.5,0.4166666667,0.3296213808,1
0.3454545455,1,0.4166666667,0.3296213808,1
0.4615384615,0.3333333333,0.4166666667,0.3296213808,1
0.4615384615,0.3333333333,0.4166666667,0.3296213808,0
0.3454545455,0.3333333333,0.4166666667,0.3296213808,0
0.3,0.3333333333,0.4166666667,0.3296213808,0
0.3695652174,0.3333333333,0.4166666667,0.3296213808,1
0.3,0.3333333333,0.4166666667,0.3296213808,0
0.3924050633,0.4,0.4166666667,0.3296213808,0
0.3695652174,0.4,0.4166666667,0.3296213808,0
0.3924050633,0.4,0.4166666667,0.3296213808,1
0.3454545455,0.4,0.4166666667,0.3296213808,1
0.3454545455,0.4,0.4166666667,0.3296213808,0
0.3924050633,0.4,0.4166666667,0.3296213808,1
0.3,0.4,0.4166666667,0.3296213808,1
0.3695652174,0.4,0.4166666667,0.4901960784,1
0.3695652174,0.4,0.4166666667,0.3296213808,1
0.3924050633,0.4,0.4166666667,0.3296213808,0
0.3924050633,0.4,0.3245614035,0.3296213808,0
0.3454545455,0.4,0.3245614035,0.3296213808,0
0.3454545455,0.4,0.3245614035,0.3296213808,0
0.3454545455,0.4,0.3245614035,0.3296213808,0
0.3695652174,0.4,0.3245614035,0.3296213808,1
0.3,0.4,0.3245614035,0.3296213808,0
0.3454545455,0.4,0.3245614035,0.3296213808,0
0.3454545455,0.4,0.3245614035,0.3296213808,0
0.3454545455,0.8333333333,0.3245614035,0.3296213808,1
0.4615384615,0.8333333333,0.3245614035,0.3296213808,1
0.3,0.8333333333,0.3245614035,0.3296213808,1
0.3695652174,0.8333333333,0.3245614035,0.4901960784,1
0.3454545455,0.8333333333,0.3245614035,0.3296213808,0
0.3,0.8333333333,0.3245614035,0.3296213808,0
0.3454545455,0.5,0.3245614035,0.3296213808,1
0.3454545455,0.5,0.3245614035,0.3296213808,0
0.3,0.5,0.3245614035,0.3296213808,1
0.3454545455,0.5,0.3245614035,0.3296213808,0
0.3454545455,0,0.3245614035,0.4901960784,0
0.3924050633,0,0.3245614035,0.3296213808,0
0.3,0,0.3245614035,0.3296213808,0
0.3924050633,0.5,0.3245614035,0.3296213808,1
0.3695652174,0.5,0.3245614035,0.3296213808,1
0.3454545455,0.5,0.3245614035,0.3296213808,0
0,0,0.3245614035,0.3296213808,0
0.3454545455,0.4,0.3245614035,0.3296213808,0
0.3695652174,0.4,0.3245614035,0.3296213808,0
0.3454545455,0.4,0.3245614035,0.3296213808,0
0.3695652174,0.4,0.3245614035,0.3296213808,1
0.3454545455,0.4,0.3245614035,0.4901960784,1
0.3,1,0.3245614035,0.3296213808,1
0.3,0.3636363636,0.3245614035,0.3296213808,0
0.3,0.3636363636,0.3245614035,0.3296213808,0
0.3,0.3636363636,0.3245614035,0.3296213808,1
0.3,0.3636363636,0.3245614035,0.3296213808,1
0.3,0.3636363636,0.3245614035,0.3296213808,0
0.3,0.3636363636,0.3245614035,0.3296213808,0
0.3454545455,0.3636363636,0.3245614035,0.3296213808,1
0.3,0.3636363636,0.3245614035,0.3296213808,0
0.3,0.3636363636,0.3245614035,0.3296213808,1
0.3,0.3636363636,0.3245614035,0.3296213808,0
0.3,0.3636363636,0.3245614035,0.3296213808,1
0.3,0.3636363636,0.3245614035,0.3296213808,0
0.3,0.3636363636,0.3245614035,0.3296213808,1
0.3,0.3636363636,0.3245614035,0.3296213808,0
0.3,0.3636363636,0.3245614035,0.3296213808,0
0.3454545455,0.3636363636,0.3245614035,0.3296213808,0
0.3454545455,0.3636363636,0.3245614035,0.3296213808,0
0.3454545455,0.3636363636,0.3245614035,0.3296213808,0
0.3,0.3636363636,0.3245614035,0.3296213808,0
0.3,0.3636363636,0.3245614035,0.3296213808,1
0.3,0.3636363636,0.3245614035,0.3296213808,1
0.3,0.3636363636,0.3245614035,0.3296213808,0
0.3,0.2592592593,0.3245614035,0.3296213808,0
0.3,0.2592592593,0.3245614035,0.3296213808,0
0.3,0.2592592593,0.3245614035,0.3296213808,1
0.3,0.2592592593,0.3245614035,0.3296213808,0
0.3,0.2592592593,0.3245614035,0.3296213808,0
0.3,0.2592592593,0.3245614035,0.3296213808,1
0.3454545455,0.2592592593,0.3245614035,0.3296213808,1
0.3,0.2592592593,0.3245614035,0.3296213808,0
0.3,0.2592592593,0.3245614035,0.3296213808,1
0.3,0.2592592593,0.3245614035,0.3296213808,0
0.3,0.2592592593,0.3245614035,0.3296213808,0
0.3,0.2592592593,0.3245614035,0.3296213808,0
0.3,0.2592592593,0.3245614035,0.3296213808,0
0.3,0.2592592593,0.3245614035,0.3296213808,0
0.3,0.2592592593,0.3245614035,0.3296213808,1
0.3,0.2592592593,0.3245614035,0.3296213808,1
0.3,0.2592592593,0.3245614035,0.3296213808,0
0.3,0.2592592593,0.3245614035,0.3296213808,0
0.3,0.2592592593,0.3245614035,0.3296213808,0
0.3,0.2592592593,0.3245614035,0.3296213808,0
0.3,0.2592592593,0.3245614035,0.3296213808,0
0.3,2,0.3245614035,0.3296213808,1
0.3,0.3333333333,0.3245614035,0.3296213808,0
0.3,0.3333333333,0.3245614035,0.3296213808,1
0.3,0.3333333333,0.3245614035,0.3296213808,0
0.3,0,0.3245614035,0.3296213808,0
0.3,0.6666666667,0.3245614035,0.3296213808,1
0.3,0.6666666667,0.3245614035,0.3296213808,1
0.3,0.6666666667,0.3245614035,0.3296213808,0
0.3924050633,0,0.3245614035,0.3296213808,0
0.3,0,0.3245614035,0.3296213808,0
0.3924050633,0,0.3245614035,0.3296213808,0
0.3924050633,0,0.3245614035,0.3296213808,0
0.3454545455,0.2,0.3245614035,0.3296213808,0
0.3695652174,0.2,0.3245614035,0.3296213808,0
0.3695652174,0.2,0.3245614035,0.3296213808,0
0.3454545455,0.2,0.3245614035,0.3296213808,0
0.3454545455,0.2,0.3245614035,0.3296213808,0
0.3695652174,0.2,0.3245614035,0.3296213808,0
0.3695652174,0.2,0.3245614035,0.3296213808,1
0.3695652174,0.2,0.3245614035,0.3296213808,0
0.3695652174,0.2,0.3245614035,0.3296213808,1
0.3695652174,0.1333333333,0.3245614035,0.3296213808,0
0.3695652174,0.1333333333,0.3245614035,0.3296213808,0
0.3695652174,0.1333333333,0.3245614035,0.3296213808,0
0.3,0.1333333333,0.3245614035,0.3296213808,0
0.3695652174,0.1333333333,0.3245614035,0.4901960784,1
0.3695652174,0.1333333333,0.3245614035,0.3296213808,0
0.3,0.1333333333,0.3245614035,0.3296213808,0
0.4615384615,0.1333333333,0,0.3296213808,0
0.3,0.1333333333,0,0.4901960784,0
0.4615384615,0.1333333333,0,0.3296213808,0
0.3,0.1333333333,0.305,0.4901960784,1
0.4615384615,0.1333333333,0.305,0.3296213808,0
0.4615384615,0.1333333333,0.305,0.3296213808,0
0.3695652174,0.2553191489,0.305,0.3296213808,0
0.3695652174,0.2553191489,0.305,0.3296213808,0
0.3924050633,0.2553191489,0.305,0.3296213808,0
0.3695652174,0.2553191489,0.305,0.3296213808,0
0.3924050633,0.2553191489,0.305,0.3296213808,1
0.3695652174,0.2553191489,0.305,0.3296213808,1
0.3924050633,0.2553191489,0.305,0.3296213808,0
0.3695652174,0.2553191489,0.305,0.3296213808,0
0.3924050633,0.2553191489,0.305,0.3296213808,0
0.3924050633,0.2553191489,0.305,0.3296213808,1
0.3924050633,0.2553191489,0.305,0.3296213808,0
0.3454545455,0.2553191489,0.305,0.3296213808,0
0.3454545455,0.2553191489,0.305,0.3296213808,0
0.3454545455,0.2553191489,0.305,0.3296213808,0
0.3454545455,0.2553191489,0.305,0.3296213808,0
0.3924050633,0.2553191489,0.305,0.3296213808,1
0.3454545455,0.2553191489,0.305,0.3296213808,0
0.3695652174,0.2553191489,0.305,0.3296213808,0
0.3454545455,0.2553191489,0.305,0.3296213808,0
0.3454545455,0.2553191489,0.305,0.3296213808,0
0.3454545455,0.2553191489,0.305,0.3296213808,0
0.3924050633,0.2553191489,0.305,0.4901960784,0
0.3924050633,0.2553191489,0.305,0.4901960784,1
0.3924050633,0.2553191489,0.305,0.3296213808,1
0.3924050633,0.2553191489,0.305,0.3296213808,0
0.3924050633,0.2553191489,0.305,0.3296213808,1
0.3924050633,0.2553191489,0.305,0.3296213808,1
0.3924050633,0.2553191489,0.305,0.3296213808,0
0.3695652174,0.2553191489,0.305,0.4901960784,0
0.4615384615,0.2553191489,0.305,0.3296213808,0
0.3695652174,0.2553191489,0.305,0.3296213808,0
0.3695652174,0.2553191489,0.305,0.3296213808,0
0.3695652174,0.2553191489,0.305,0.3296213808,0
0.4615384615,0.2553191489,0.305,0.3296213808,0
0.3454545455,0.2553191489,0.305,0.3296213808,0
0.3695652174,0.2553191489,0.305,0.3296213808,0
0.3454545455,0.2553191489,0.305,0.3296213808,1
0.3695652174,0.2553191489,0.305,0.3296213808,1
0.4615384615,0.2553191489,0.305,0.3296213808,0
0.4615384615,0.2553191489,0.305,0.3296213808,0
0.3454545455,0.2553191489,0.305,0.3296213808,1
0.3924050633,0,0.305,0.3296213808,0
0.3695652174,0.25,0.305,0.3296213808,0
0.3695652174,0.25,0.305,0.3296213808,0
0.3695652174,0.25,0.305,0.3296213808,0
0.3695652174,0.25,0.305,0.3296213808,1
0.3924050633,0,0.305,0.4901960784,0
0.3924050633,0.4347826087,0.305,0.3296213808,0
0.3,0.4347826087,0.305,0.3296213808,0
0.3924050633,0.4347826087,0.305,0.4901960784,1
0.3924050633,0.4347826087,0.305,0.4901960784,1
0.3924050633,0.4347826087,0.305,0.4901960784,0
0.3454545455,0.4347826087,0.305,0.3296213808,0
0.5,0.4347826087,0.305,0.4901960784,0
0.3695652174,0.4347826087,0.305,0.4901960784,1
0.3,0.4347826087,0.305,0.3296213808,0
0.3,0.4347826087,0.305,0.3296213808,1
0.3924050633,0.4347826087,0.305,0.3296213808,0
0.3454545455,0.4347826087,0.305,0.3296213808,0
0.3924050633,0.4347826087,0.305,0.3296213808,0
0.3454545455,0.4347826087,0.305,0.3296213808,0
0.3924050633,0.4347826087,0.305,0.3296213808,0
0.3924050633,0.4347826087,0.305,0.4901960784,0
0.3924050633,0.4347826087,0.305,0.4901960784,1
0.3695652174,0.4347826087,0.305,0.3296213808,0
0.3695652174,0.4347826087,0.305,0.3296213808,1
0.3924050633,0.4347826087,0.305,0.3296213808,0
0.3,0.4347826087,0.305,0.3296213808,0
0.3,0.4347826087,0.305,0.3296213808,1
0.3924050633,0.4347826087,0.305,0.3296213808,0
0.3695652174,0.4347826087,0.305,0.3296213808,1
0.3454545455,0.4347826087,0.305,0.3296213808,1
0.3454545455,0.4347826087,0.305,0.3296213808,1
0.3924050633,0.4347826087,0.305,0.3296213808,1
0.3924050633,0.4347826087,0.305,0.3296213808,1
0.3,0.4347826087,0.305,0.3296213808,0
0.3695652174,0.4347826087,0.305,0.4901960784,0
0.3,0.4347826087,0.305,0.4901960784,0
0.3695652174,0.4347826087,0.305,0.3296213808,0
0.4615384615,0.4347826087,0.305,0.3296213808,1
0.3,0.4347826087,0.305,0.4901960784,0
0.4615384615,0.4347826087,0.305,0.4901960784,0
0.3695652174,0.4347826087,0.305,0.3296213808,0
0.4615384615,0.4347826087,0.305,0.3296213808,1
0.4615384615,0.4347826087,0.305,0.3296213808,1
0.3454545455,0.4347826087,0.305,0.4901960784,0
0.3,0.4347826087,0.305,0.3296213808,1
0.3,0.4347826087,0.305,0.3296213808,0
0.3454545455,0.4347826087,0.305,0.3296213808,0
0.3454545455,0.4347826087,0.305,0.3296213808,1
0.3924050633,0.3225806452,0.305,0.3296213808,0
0.3,0.3225806452,0.305,0.3296213808,1
0.3695652174,0.3225806452,0.305,0.3296213808,0
0.3,0.3225806452,0.305,0.3296213808,0
0.3,0.3225806452,0.305,0.3296213808,0
0.3695652174,0.3225806452,0.305,0.3296213808,0
0.3,0.3225806452,0.305,0.3296213808,1
0.3454545455,0.3225806452,0.305,0.3296213808,1
0.3,0.3225806452,0.305,0.4901960784,1
0.3,0.3225806452,0.305,0.3296213808,0
0.3924050633,0.3225806452,0.305,0.3296213808,0
0.3924050633,0.3225806452,0.305,0.3296213808,1
0.3,0.3225806452,0.305,0.3296213808,0
0.3,0.3225806452,0.305,0.3296213808,0
0.3695652174,0.3225806452,0.305,0.3296213808,1
0.3454545455,0.3225806452,0.305,0.3296213808,1
0.3454545455,0.3225806452,0.305,0.3296213808,0
0.3924050633,0.3225806452,0.305,0.3296213808,0
0.3,0.3225806452,0.305,0.3296213808,0
0.3,0.3225806452,0.305,0.3296213808,1
0.3,0.3225806452,0.305,0.3296213808,0
0.3695652174,0.3225806452,0.305,0.3296213808,0
0.3695652174,0.3225806452,0.305,0.3296213808,1
0.3695652174,0.3225806452,0.305,0.3296213808,0
0.4615384615,0.3225806452,0.305,0.3296213808,0
0.3,0.3225806452,0.305,0.3296213808,0
0.4615384615,0.3225806452,0.305,0.3296213808,1
0.3,0.3333333333,0.305,0.3296213808,0
0.3454545455,0.3333333333,0.305,0.3296213808,1
0.3,0.3333333333,0.305,0.3296213808,0
0.3,0,0.305,0.3296213808,0
0.4615384615,0.5,0.305,0.3296213808,1
0.3,0.5,0.305,0.3296213808,0
0.3,0.1818181818,0.305,0.3296213808,0
0.3454545455,0.1818181818,0.305,0.3296213808,1
0.3,0.1818181818,0.305,0.3296213808,1
0.3,0.1818181818,0.305,0.3296213808,0
0.3,0.1818181818,0.305,0.3296213808,0
0.3,0.1818181818,0.305,0.3296213808,0
0.3,0.1818181818,0.305,0.3296213808,0
0.3,0.1818181818,0.305,0.4901960784,0
0.3,0.1818181818,0.305,0.3296213808,0
0.3,0.1818181818,0.305,0.3296213808,0
0.3,0.1818181818,0.305,0.3296213808,0
0.3,0.2307692308,0.305,0.3296213808,0
0.3695652174,0.2307692308,0.305,0.3296213808,0
0.3,0.2307692308,0.305,0.3296213808,0
0.3,0.2307692308,0.305,0.3296213808,1
0.3695652174,0.2307692308,0.305,0.3296213808,0
0.3924050633,0.2307692308,0.305,0.4901960784,0
0.3924050633,0.2307692308,0.305,0.3296213808,0
0.3695652174,0.2307692308,0.305,0.3296213808,0
0.3,0.2307692308,0.305,0.3296213808,1
0.3,0.2307692308,0.305,0.3296213808,0
0.3,1,0.305,0.3296213808,1
0.3,0.5,0.305,0.3296213808,1
0.3,0.5,0.305,0.3296213808,0
0.3,0.4285714286,0.305,0.3296213808,1
0.3,0.4285714286,0.305,0.3296213808,0
0.3,0.4285714286,0.305,0.3296213808,0
0.3,0.4285714286,0.305,0.3296213808,0
0.3,0.4285714286,0.305,0.3296213808,1
0.3,0.5,0.305,0.3296213808,0
0.3,0.5,0.305,0.4901960784,1
0.3,0.25,0.305,0.3296213808,0
0.3,0.25,0.305,0.3296213808,0
0.3,0.25,0.305,0.3296213808,0
0.3,0.25,0.305,0.3296213808,0
0.3,0.25,0.305,0.3296213808,0
0.3,0.25,0.305,0.3296213808,0
0.3,0.25,0.305,0.3296213808,1
0.3,0.25,0.305,0.4901960784,0
0.3,0.25,0.305,0.4901960784,1
0.3,0.25,0.305,0.4901960784,0
0.3,0.25,0.305,0.4901960784,1
0.3,0,0.305,0.4901960784,0
0.3,0,0.305,0.4901960784,0
0.3,0,0.305,0.3296213808,0
0.3454545455,0.25,0.305,0.3296213808,1
0.3695652174,0.25,0.305,0.3296213808,0
0.3454545455,0.25,0.305,0.3296213808,0
0.3454545455,0.25,0.305,0.3296213808,0
0.3924050633,0.25,0.305,0.3296213808,0
0.3,0.25,0.305,0.3296213808,0
0.3924050633,0.25,0.305,0.3296213808,0
0.3924050633,0.25,0.305,0.3296213808,0
0.3924050633,0.25,0.305,0.3296213808,0
0.3454545455,0.25,0.55,0.4901960784,1
0.3454545455,0.25,0.55,0.3296213808,1
0.4615384615,0.5,0.55,0.3296213808,1
0.3454545455,0.5,0.55,0.3296213808,0
0.3454545455,0.7,0.55,0.3296213808,0
0.3454545455,0.7,0.55,0.3296213808,1
0.3454545455,0.7,0.55,0.3296213808,1
0.3924050633,0.7,0.55,0.3296213808,1
0.3454545455,0.7,0.55,0.3296213808,0
0.3695652174,0.7,0.55,0.3296213808,1
0.3454545455,0,0.55,0.3296213808,0
0.3454545455,0,0.55,0.3296213808,0
0.3454545455,0,0.55,0.3296213808,0
0.3924050633,1,0.55,0.3296213808,1
0.3454545455,0,0.55,0.3296213808,0
0.3695652174,0,0.55,0.3296213808,0
0.3695652174,1.5,0.425,0.3296213808,1
0.3454545455,1.5,0.425,0.3296213808,1
0.3695652174,0,0.425,0.3296213808,0
0.3695652174,0,0.425,0.3296213808,0
0.3454545455,0,0.425,0.3296213808,0
0.3695652174,0.5,0.425,0.3296213808,0
0.3924050633,0.5,0.425,0.3296213808,1
0.3,0,0.425,0.3296213808,0
0.3,0,0.425,0.3296213808,0
0.3695652174,0,0.425,0.3296213808,0
0.3454545455,0,0.425,0.3296213808,0
0.3454545455,0,0.425,0.3296213808,0
0.3924050633,0.6666666667,0.425,0.3296213808,0
0.3924050633,0.6666666667,0.425,0.3296213808,1
0.3,0.6666666667,0.425,0.3296213808,1
0.3,0.6666666667,0.425,0.3296213808,0
0.3924050633,0.6666666667,0.425,0.3296213808,1
0.3695652174,0.6666666667,0.425,0.3296213808,1
0.3,0,0.425,0.3296213808,0
0.3695652174,1,0.425,0.3296213808,1
0.3695652174,0.4285714286,0.425,0.3296213808,0
0.3454545455,0.4285714286,0.425,0.3296213808,0
0.3454545455,0.4285714286,0.425,0.3296213808,1
0.3454545455,0.4285714286,0.425,0.3296213808,1
0.3695652174,0.4285714286,0.425,0.3296213808,1
0.3,0.4285714286,0.425,0.3296213808,0
0.3695652174,0.4285714286,0.425,0.3296213808,0
0.3695652174,0,0.425,0.3296213808,0
0.3695652174,0.5,0.425,0.3296213808,1
0.3924050633,0.5,0.425,0.3296213808,0
0.5,0.3333333333,0.425,0.3296213808,1
0.3695652174,0.3333333333,0.425,0.3296213808,0
0.4615384615,0.3333333333,0.425,0.4901960784,0
0.3454545455,0.3,0.425,0.3296213808,0
0.3695652174,0.3,0.425,0.3296213808,1
0.3924050633,0.3,0.425,0.3296213808,0
0.3454545455,0.3,0.425,0.3296213808,1
0.3454545455,0.3,0.425,0.3296213808,1
0.3,0.3,0.3469387755,0.3296213808,0
0.3,0.3,0.3469387755,0.3296213808,0
0.3454545455,0.3,0.3469387755,0.3296213808,0
0.3454545455,0.3,0.3469387755,0.3296213808,0
0.3695652174,0,0.3469387755,0.3296213808,0
0.4615384615,1,0.3469387755,0.3296213808,1
0.3695652174,1,0.3469387755,0.4901960784,1
0.3695652174,0.1666666667,0.3469387755,0.3296213808,0
0.4615384615,0.1666666667,0.3469387755,0.3296213808,1
0.4615384615,0.1666666667,0.3469387755,0.4901960784,0
0.3454545455,0.1666666667,0.3469387755,0.3296213808,0
0.3,0.1666666667,0.3469387755,0.3296213808,0
0.3,0.1666666667,0.3469387755,0.3296213808,0
0.3695652174,0.25,0.3469387755,0.3296213808,0
0.3924050633,0.25,0.3469387755,0.3296213808,0
0.3695652174,0.25,0.3469387755,0.3296213808,0
0.3,0.25,0.3469387755,0.3296213808,0
0.3,0.25,0.3469387755,0.4901960784,1
0.3,0.25,0.3469387755,0.3296213808,1
0.3924050633,0.25,0.3469387755,0.4901960784,0
0.3,0.25,0.3469387755,0.3296213808,0
0.3,0.125,0.3469387755,0.3296213808,0
0.3,0.125,0.3469387755,0.3296213808,0
0.3454545455,0.125,0.3469387755,0.3296213808,1
0.3,0.125,0.3469387755,0.3296213808,0
0.3,0.125,0.3469387755,0.3296213808,0
0.3,0.125,0.3469387755,0.3296213808,0
0.3,0.125,0.3469387755,0.3296213808,0
0.3924050633,0.125,0.3469387755,0.4901960784,0
0.3,0.5714285714,0.3469387755,0.3296213808,0
0.3,0.5714285714,0.3469387755,0.3296213808,1
0.3,0.5714285714,0.3469387755,0.3296213808,0
0.3,0.5714285714,0.3469387755,0.3296213808,1
0.3,0.5714285714,0.3469387755,0.3296213808,0
0.3,0.5714285714,0.3469387755,0.3296213808,0
0.3454545455,0.5714285714,0.3469387755,0.4901960784,1
0.3924050633,0.7142857143,0.3469387755,0.3296213808,1
0.3924050633,0.7142857143,0.3469387755,0.3296213808,0
0.3,0.7142857143,0.3469387755,0.4901960784,1
0.3924050633,0.7142857143,0.3469387755,0.3296213808,1
0.3,0.7142857143,0.3469387755,0.3296213808,0
0.3,0.7142857143,0.3469387755,0.4901960784,1
0.3,0.7142857143,0.3469387755,0.3296213808,1
0.3454545455,0.6666666667,0.3469387755,0.3296213808,0
0.3454545455,0.6666666667,0.3469387755,0.3296213808,1
0.3454545455,0.6666666667,0.3846153846,0.3296213808,1
0.3924050633,0.6666666667,0.3846153846,0.3296213808,1
0.3924050633,0.6666666667,0.3846153846,0.4901960784,1
0.3924050633,0.6666666667,0.3846153846,0.3296213808,0
0.3454545455,0.3333333333,0.3846153846,0.3296213808,0
0.3695652174,0.3333333333,0.3846153846,0.3296213808,0
0.3454545455,0.3333333333,0.3846153846,0.4901960784,1
0.3454545455,0.3333333333,0.3846153846,0.3296213808,0
0.3,0.3333333333,0.3846153846,0.3296213808,0
0.3,0.3333333333,0.3846153846,0.3296213808,1
0.3695652174,0.7142857143,0.3846153846,0.3296213808,0
0.3454545455,0.7142857143,0.3846153846,0.3296213808,1
0.3454545455,0.7142857143,0.3846153846,0.3296213808,1
0.3454545455,0.7142857143,0.3846153846,0.3296213808,1
0.3695652174,0.7142857143,0.3846153846,0.3296213808,1
0.3454545455,0.7142857143,0.3846153846,0.3296213808,1
0.3454545455,0.7142857143,0.3846153846,0.3296213808,0
0.3,0,0.3846153846,0.3296213808,0
0.3924050633,0,0.3846153846,0.3296213808,0
0.3454545455,0,0.3846153846,0.3296213808,0
0.3924050633,0,0.3846153846,0.3296213808,0
0.3454545455,0,0.3846153846,0.3296213808,0
0.3454545455,0,0.3846153846,0.3296213808,0
0.3695652174,0,0.3846153846,0.3296213808,0